Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
Freeport-McMoRan Inc,FCX,2013/10/9,3.875,1998776000,2023/3/15,BB,CALLABLE,USD,US,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2018/5/11,7.9,625000000,2021/5/11,NR,CALLABLE,USD,KY,N
HSBC Holdings PLC,HSBC,2018/9/24,5,549325500,#N/A Field Not Applicable,BBB-,PERP/CALL,SGD,GB,N
Aroundtown SA,ARNDTN,2017/11/27,1.375,476096000,2024/11/27,NR,CALLABLE,EUR,LU,N
Intercept Pharmaceuticals Inc,ICPT,2016/7/6,3.25,460000000,2023/7/1,#N/A N/A,CONVERTIBLE,USD,US,N
Credit Agricole SA,ACAFP,2016/1/19,8.125,1250000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,FR,N
Oil India Ltd,OINLIN,2019/2/4,5.125,550000000,2029/2/4,BBB-,AT MATURITY,USD,IN,N
Sunny Optical Technology Group Co Ltd,SUNOTG,2018/1/23,3.75,600000000,2023/1/23,NR,AT MATURITY,USD,KY,N
Erste Group Bank AG,ERSTBK,2017/4/12,6.5,530120000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,AT,N
Chesapeake Energy Corp,CHK,2011/2/11,6.125,1000000000,2021/2/15,NR,AT MATURITY,USD,US,N
Cineplex Inc,CGXCN,2021/2/26,7.5,198281500,2026/2/26,#N/A N/A,CALLABLE,CAD,CA,N
Aviva PLC,AVLN,2008/5/20,6.875,1182390000,2058/5/20,BBB+,CALLABLE,GBP,GB,N
Goldman Sachs Group Inc/The,GS,2016/7/27,1.625,2198240000,2026/7/27,A-,AT MATURITY,EUR,US,N
Home Depot Inc/The,HD,2020/3/30,3.35,1500000000,2050/4/15,A,CALLABLE,USD,US,N
Cikarang Listrindo Tbk PT,CIKLIS,2016/9/13,4.95,550000000,2026/9/14,BB,CALLABLE,USD,ID,N
Deere & Co,DE,2020/3/30,3.75,850000000,2050/4/15,A,CALLABLE,USD,US,N
H Lundbeck A/S,LUNDC,2020/10/14,0.875,587570000,2027/10/14,NR,CALLABLE,EUR,DK,N
Intermediate Capital Group PLC,ICPLN,2020/2/17,1.625,541610000,2027/2/17,BBB-,CALLABLE,EUR,GB,N
Neurocrine Biosciences Inc,NBIX,2017/5/2,2.25,517500000,2024/5/15,#N/A N/A,CONVERTIBLE,USD,US,N
Vivendi SE,VIVFP,2019/6/11,0,793065000,2022/6/13,BBB,CALLABLE,EUR,FR,N
SK Hynix Inc,HYUELE,2021/1/19,1,500000000,2024/1/19,BBB-,AT MATURITY,USD,KR,N
Banco BPM SpA,BAMIIM,2019/10/1,4.25,382826500,2029/10/1,BB-,CALLABLE,EUR,IT,N
VGP NV,VGPBB,2019/12/2,2.75,166125000,2023/4/2,#N/A N/A,AT MATURITY,EUR,BE,N
CSX Corp,CSX,2019/9/12,2.4,400000000,2030/2/15,BBB+,CALLABLE,USD,US,N
Dollar Tree Inc,DLTR,2018/4/19,4.2,1250000000,2028/5/15,BBB,CALLABLE,USD,US,N
Microchip Technology Inc,MCHP,2020/12/1,0.125,665514000,2024/11/15,#N/A N/A,CONVERTIBLE,USD,US,N
Penske Automotive Group Inc,PAG,2016/5/25,5.5,500000000,2026/5/15,B+,CALLABLE,USD,US,N
Yapi ve Kredi Bankasi AS,YKBNK,2017/6/21,5.85,500000000,2024/6/21,B,AT MATURITY,USD,TR,N
Koninklijke KPN NV,KPN,2013/3/28,7,600000000,2073/3/28,BB,CALLABLE,USD,NL,N
Sumitomo Mitsui Financial Group Inc,SUMIBK,2020/7/8,2.13,1500000000,2030/7/8,A,AT MATURITY,USD,JP,N
Goldman Sachs Group Inc/The,GS,2015/7/6,0,156267035.8,2025/7/6,NR,AT MATURITY,EUR,US,N
Fiserv Inc,FISV,2019/6/24,4.4,2000000000,2049/7/1,BBB,CALLABLE,USD,US,N
Truist Financial Corp,TFC,2020/6/1,4.95,1000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Truist Financial Corp,TFC,2020/6/5,1.95,750000000,2030/6/5,A-,CALLABLE,USD,US,N
Staples Inc,SPLS,2019/4/16,10.75,1000000000,2027/4/15,CCC+,CALLABLE,USD,US,N
Ross Stores Inc,ROST,2020/4/6,4.7,400000000,2027/4/15,A-,CALLABLE,USD,US,N
Pioneer Natural Resources Co,PXD,2021/1/29,0.75,750000000,2024/1/15,BBB,CALLABLE,USD,US,N
Credit Agricole SA,ACAFP,2021/1/11,2.811,1500000000,2041/1/11,BBB+,AT MATURITY,USD,FR,N
Fraport AG Frankfurt Airport Services Worldwide,FRAGR,2020/7/9,1.625,338721000,2024/7/9,#N/A N/A,CALLABLE,EUR,DE,N
Hyatt Hotels Corp,H,2016/3/7,4.85,400000000,2026/3/15,BBB-,CALLABLE,USD,US,N
Becton Dickinson and Co,BDX,2017/6/6,3.7,2400000000,2027/6/6,BBB-,CALLABLE,USD,US,N
General Electric Co,GE,2006/8/15,0.67375,300000000,2036/8/15,BBB,AT MATURITY,USD,US,N
Teekay Corp,TK,2018/1/26,5,125000000,2023/1/15,#N/A N/A,CONVERTIBLE,USD,MH,N
China Aoyuan Group Ltd,CAPG,2017/9/13,5.375,250000000,2022/9/13,B+,CALLABLE,USD,KY,N
Ball Corp,BLL,2012/3/9,5,750000000,2022/3/15,BB+,AT MATURITY,USD,US,N
Stellantis NV,STLA,2019/9/18,1.125,663804000,2029/9/18,BBB-,CALLABLE,EUR,NL,N
ShaMaran Petroleum Corp,SNMCN,2018/7/5,12,240000000,2023/7/5,#N/A N/A,CALLABLE,USD,CA,N
Boeing Co/The,BA,2016/5/18,3.375,400000000,2046/6/15,BBB-,CALLABLE,USD,US,N
Tutor Perini Corp,TPC,2017/4/20,6.875,500000000,2025/5/1,B-,CALLABLE,USD,US,N
Adani Transmission Ltd,ADTIN,2019/11/21,4.25,500000000,2036/5/21,BBB-,SINKABLE,USD,IN,N
Tencent Music Entertainment Group,TME,2020/9/3,1.375,300000000,2025/9/3,A,CALLABLE,USD,KY,N
Telecom Italia SpA/Milano,TITIM,2016/5/25,3.625,1115900000,2026/5/25,BB,AT MATURITY,EUR,IT,N
Turkiye Sinai Kalkinma Bankasi AS,TSKBTI,2020/1/23,6,400000000,2025/1/23,B,AT MATURITY,USD,TR,N
Credit Suisse Group AG,CS,2020/4/2,3.25,2168360000,2026/4/2,BBB+,CALLABLE,EUR,CH,N
Covivio,COVFP,2020/6/23,1.625,565440000,2030/6/23,NR,CALLABLE,EUR,FR,N
Goldman Sachs Group Inc/The,GS,2018/4/23,4.223,3500000000,2029/5/1,A-,CALLABLE,USD,US,N
Frontier Communications Corp,FTR,2020/11/25,5,1550000000,2028/5/1,B+,CALLABLE,USD,US,N
Microsoft Corp,MSFT,2012/11/7,3.5,900000000,2042/11/15,AAA,AT MATURITY,USD,US,N
TechnipFMC PLC,FTI,2018/5/22,3.45,459764000,2022/10/1,BB+,CALLABLE,USD,GB,N
Crown Resorts Ltd,CWNAU,2015/4/23,4.0204,490187250,2075/4/23,#N/A N/A,CALLABLE,AUD,AU,N
Turkiye Vakiflar Bankasi TAO,VAKBN,2017/5/30,5.625,500000000,2022/5/30,B,AT MATURITY,USD,TR,N
JPMorgan Chase & Co,JPM,2019/9/12,2.301,2000000000,2025/10/15,A,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2020/6/30,5.459,1500000000,2035/6/30,BB+,CALLABLE,USD,IT,N
CaixaBank SA,CABKSM,2017/9/12,1.125,1495350000,2023/1/12,BBB,AT MATURITY,EUR,ES,N
Huazhu Group Ltd,HTHT,2017/11/3,0.375,475000000,2022/11/1,#N/A N/A,CONV/PUT,USD,KY,N
Bank of Georgia JSC,GEBGG,2016/7/26,6,350000000,2023/7/26,BB-,AT MATURITY,USD,GE,N
Marathon Oil Corp,MRO,2002/3/4,6.8,550000000,2032/3/15,BBB-,AT MATURITY,USD,US,N
Owl Rock Capital Corp,ORCC,2020/1/22,3.75,500000000,2025/7/22,BBB-,CALLABLE,USD,US,N
Altice France SA/France,SFRFP,2018/7/31,8.125,1750000000,2027/2/1,B,CALLABLE,USD,FR,N
Power Finance Corp Ltd,POWFIN,2017/12/6,3.75,400000000,2027/12/6,BBB-,AT MATURITY,USD,IN,Y
Deutsche Boerse AG,DBOERS,2018/3/26,1.125,746658000,2028/3/26,NR,CALLABLE,EUR,DE,N
Starbucks Corp,SBUX,2019/5/13,3.55,1000000000,2029/8/15,BBB,CALLABLE,USD,US,N
Duke Energy Corp,DUK,2016/8/12,3.75,1500000000,2046/9/1,BBB,CALLABLE,USD,US,N
Coca-Cola Icecek AS,CCOLAT,2017/9/19,4.215,500000000,2024/9/19,BB-,CALLABLE,USD,TR,N
Alexandria Real Estate Equities Inc,ARE,2019/7/15,3.375,750000000,2031/8/15,BBB+,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2020/4/22,2.083,3500000000,2026/4/22,A,CALLABLE,USD,US,N
Pampa Energia SA,PAMPAR,2019/7/10,9.125,300000000,2029/4/15,CCC,CALLABLE,USD,AR,N
Athene Holding Ltd,ATH,2018/1/12,4.125,1000000000,2028/1/12,BBB,CALLABLE,USD,BM,N
Mitsubishi Estate Co Ltd,MITEST,2021/2/3,0.97,333306400,2081/2/3,BBB+,CALLABLE,JPY,JP,N
Thermo Fisher Scientific Inc,TMO,2019/9/30,0.875,981279000,2031/10/1,BBB,CALLABLE,EUR,US,N
Engie SA,ENGIFP,2019/1/28,3.25,1143460000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,FR,Y
Sysco Corp,SYY,2018/3/19,4.45,500000000,2048/3/15,BBB,CALLABLE,USD,US,N
CVS Health Corp,CVS,2016/5/25,2.875,1750000000,2026/6/1,BBB,CALLABLE,USD,US,N
Ocado Group PLC,OCDOLN,2019/12/9,0.875,788892000,2025/12/9,#N/A N/A,CONVERTIBLE,GBP,GB,N
Intesa Sanpaolo SpA,ISPIM,2019/9/23,4.7,500000000,2049/9/23,BBB,AT MATURITY,USD,IT,N
Qantas Airways Ltd,QANAU,2016/10/12,4.75,227034000,2026/10/12,NR,AT MATURITY,AUD,AU,N
AbbVie Inc,ABBV,2018/9/18,4.875,1750000000,2048/11/14,BBB,CALLABLE,USD,US,N
Mosaic Co/The,MOS,2013/11/13,5.45,500000000,2033/11/15,BBB-,CALLABLE,USD,US,N
Phoenix Group Holdings PLC,PHNXLN,2017/7/6,5.375,500000000,2027/7/6,NR,AT MATURITY,USD,GB,N
Citigroup Inc,C,2019/11/5,2.976,2250000000,2030/11/5,A-,CALLABLE,USD,US,N
Walt Disney Co/The,DIS,2020/5/13,3.8,1500000000,2060/5/13,A-,CALLABLE,USD,US,N
Whirlpool Corp,WHR,2019/2/26,4.75,700000000,2029/2/26,BBB,CALLABLE,USD,US,N
Lumentum Holdings Inc,LITE,2017/3/8,0.25,450000000,2024/3/15,NR,CONVERTIBLE,USD,US,N
Fastighets AB Balder,BALDER,2017/9/7,3,419625500,2078/3/7,NR,CALLABLE,EUR,SE,N
Atos SE,ATOFP,2019/11/6,0,553305000,2024/11/6,#N/A N/A,CONVERTIBLE,EUR,FR,N
Modern Land China Co Ltd,MOLAND,2020/3/4,11.95,277000000,2024/3/4,B-,CALLABLE,USD,KY,Y
JPMorgan Chase & Co,JPM,2014/5/13,3.625,2000000000,2024/5/13,A,AT MATURITY,USD,US,N
Alphabet Inc,GOOGL,2020/8/5,0.45,1000000000,2025/8/15,AA,CALLABLE,USD,US,N
Exxon Mobil Corp,XOM,2020/4/15,1.571,2750000000,2023/4/15,AA,AT MATURITY,USD,US,N
Apple Inc,AAPL,2017/5/11,2.85,1750000000,2024/5/11,AA+,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2016/7/25,2.1,3000000000,2021/7/26,A,AT MATURITY,USD,US,N
Enbridge Inc,ENBCN,2017/9/26,5.375,1332358500,2077/9/27,BB+,CALLABLE,CAD,CA,N
Anthem Inc,ANTM,2017/11/21,3.65,1600000000,2027/12/1,BBB+,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2019/1/24,3.75,3000000000,2024/1/24,A,CALLABLE,USD,US,N
Celgene Corp,CELG,2015/8/12,3.875,2500000000,2025/8/15,NR,CALLABLE,USD,US,N
Splunk Inc,SPLK,2020/6/5,1.125,1265000000,2027/6/15,#N/A N/A,CONVERTIBLE,USD,US,N
Southern Co/The,SO,2016/12/8,5.5,550000000,2057/3/15,BBB-,CALLABLE,USD,US,N
Exact Sciences Corp,EXAS,2019/3/8,0.375,747500000,2027/3/15,#N/A N/A,CONVERTIBLE,USD,US,N
Intesa Sanpaolo SpA,ISPIM,2020/1/15,2.5,456162000,2030/1/15,BBB,AT MATURITY,GBP,IT,N
Societe Generale SA,SOCGEN,2019/7/1,0.875,847065000,2026/7/1,BBB,AT MATURITY,EUR,FR,N
Freeport-McMoRan Inc,FCX,2020/7/27,4.375,650000000,2028/8/1,BB,CALLABLE,USD,US,N
Central China Real Estate Ltd,CENCHI,2020/1/16,7.25,200000000,2024/7/16,B+,CALLABLE,USD,KY,N
Sacyr SA,SCYRSM,2019/4/25,3.75,194890500,2024/4/25,#N/A N/A,CONV/PUT,EUR,ES,N
M&T Bank Corp,MTB,2019/7/30,5,400000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Leonardo SpA,LDOIM,2017/6/7,1.5,675888000,2024/6/7,BB+,CALLABLE,EUR,IT,N
CaixaBank SA,CABKSM,2019/3/27,1.125,1125400000,2026/3/27,BBB+,AT MATURITY,EUR,ES,N
Turkiye Is Bankasi AS,ISCTR,2016/4/6,5.375,750000000,2021/10/6,B,AT MATURITY,USD,TR,N
Twilio Inc,TWLO,2018/5/17,0.25,550000000,2023/6/1,#N/A N/A,CONVERTIBLE,USD,US,N
CaixaBank SA,CABKSM,2017/2/15,3.5,1058380000,2027/2/15,BBB-,CALLABLE,EUR,ES,N
Luzerner Kantonalbank AG,KBLUZE,2020/3/6,1.5,383860800,#N/A Field Not Applicable,NR,PERP/CALL,CHF,CH,N
Intesa Sanpaolo SpA,ISPIM,2019/12/4,0.75,830842500,2024/12/4,BBB,AT MATURITY,EUR,IT,Y
Comcast Corp,CMCSA,2017/1/10,3,1250000000,2024/2/1,A-,CALLABLE,USD,US,N
Edgewell Personal Care Co,EPC,2020/5/22,5.5,750000000,2028/6/1,BB-,CALLABLE,USD,US,N
William Hill PLC,WMH,2016/5/27,4.875,512295000,2023/9/7,BB-,AT MATURITY,GBP,GB,N
IAMGOLD Corp,IMGCN,2020/9/23,5.75,450000000,2028/10/15,B,CALLABLE,USD,CA,N
Citigroup Inc,C,2020/5/14,1.678,1500000000,2024/5/15,A-,CALLABLE,USD,US,Y
Bank of Montreal,BMO,2019/2/5,3.3,1750000000,2024/2/5,A,AT MATURITY,USD,CA,N
Datadog Inc,DDOG,2020/6/2,0.125,747500000,2025/6/15,#N/A N/A,CONVERTIBLE,USD,US,N
HSBC Holdings PLC,HSBC,2020/11/24,1.589,2000000000,2027/5/24,A,CALLABLE,USD,GB,N
QBE Insurance Group Ltd,QBEAU,2017/11/16,5.25,400000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,AU,N
Norbord Inc,OSBCN,2019/6/24,5.75,350000000,2027/7/15,BB+,CALLABLE,USD,CA,N
Devon Energy Corp,DVN,2011/7/12,5.6,1250000000,2041/7/15,BBB-,CALLABLE,USD,US,N
NVR Inc,NVR,2020/5/4,3,900000000,2030/5/15,BBB+,CALLABLE,USD,US,N
Fresenius SE & Co KGaA,FREGR,2020/1/15,0.75,836835000,2028/1/15,BBB-,CALLABLE,EUR,DE,N
Mediobanca Banca di Credito Finanziario SpA,BACRED,2020/9/8,1,589805000,2027/9/8,BBB,AT MATURITY,EUR,IT,Y
FinecoBank Banca Fineco SpA,FINBAN,2019/7/18,5.875,336723000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,IT,N
Turkiye Vakiflar Bankasi TAO,VAKBN,2019/3/28,8.125,600000000,2024/3/28,B,AT MATURITY,USD,TR,N
Nasdaq Inc,NDAQ,2020/4/28,3.25,500000000,2050/4/28,BBB,CALLABLE,USD,US,N
Banco BPM SpA,BAMIIM,2007/6/21,1.339,401811000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,IT,N
KazMunayGas National Co JSC,KZOKZ,2017/4/19,5.75,1250000000,2047/4/19,BB+,AT MATURITY,USD,KZ,N
Warehouses De Pauw CVA,WDPBB,2014/6/13,3.375,169136250,2021/6/13,#N/A N/A,AT MATURITY,EUR,BE,N
American Tower Corp,AMT,2020/9/10,0.5,889320000,2028/1/15,BBB-,CALLABLE,EUR,US,N
Capital One Financial Corp,COF,2017/10/31,3.3,1500000000,2024/10/30,BBB+,CALLABLE,USD,US,N
Boeing Co/The,BA,2009/3/13,6.875,500000000,2039/3/15,BBB-,AT MATURITY,USD,US,N
Ingenico Group SA,INGFP,2017/9/13,1.625,712872000,2024/9/13,#N/A N/A,CALLABLE,EUR,FR,N
Hoist Finance AB,HOFISS,2018/9/28,2.75,290340000,2023/4/3,NR,AT MATURITY,EUR,SE,N
Constellation Brands Inc,STZ,2020/4/27,3.75,600000000,2050/5/1,BBB-,CALLABLE,USD,US,N
Commerzbank AG,CMZB,2017/3/1,4.875,355151500,2027/3/1,BB+,CALLABLE,SGD,DE,N
Renewi PLC,RWILN,2019/7/19,3,84216000,2024/7/19,#N/A N/A,AT MATURITY,EUR,GB,Y
Broadcom Inc,AVGO,2020/8/7,4.3,1999560000,2032/11/15,BBB-,CALLABLE,USD,US,N
NTPC Ltd,NTPCIN,2014/11/26,4.375,500000000,2024/11/26,BBB-,AT MATURITY,USD,IN,N
Akbank T.A.S.,AKBNK,2017/3/15,7.2,500000000,2027/3/16,CCC+,CALLABLE,USD,TR,N
Suez SA,SEVFP,2017/4/19,2.875,642624000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,FR,N
Brighthouse Financial Inc,BHF,2020/5/15,5.625,615000000,2030/5/15,BBB,CALLABLE,USD,US,N
Lumen Technologies Inc,LUMN,2013/11/27,6.75,750000000,2023/12/1,B+,AT MATURITY,USD,US,N
Marathon Petroleum Corp,MPC,2014/9/5,4.75,800000000,2044/9/15,BBB,CALLABLE,USD,US,N
Bristol-Myers Squibb Co,BMY,2020/7/15,5.25,388625000,2043/8/15,A,AT MATURITY,USD,US,N
JCDecaux SA,DECFP,2020/4/24,2.625,647184118,2028/4/24,BBB-,CALLABLE,EUR,FR,N
Aker BP ASA,AKERBP,2018/3/22,5.875,500000000,2025/3/31,BBB-,CALLABLE,USD,NO,N
Kimco Realty Corp,KIM,2020/7/13,2.7,500000000,2030/10/1,BBB+,CALLABLE,USD,US,Y
Hanesbrands Inc,HBI,2020/5/4,5.375,700000000,2025/5/15,BB-,CALLABLE,USD,US,N
Electricite de France SA,EDF,2014/1/22,6,700000000,2114/1/22,BBB+,AT MATURITY,USD,FR,N
Summit Hotel Properties Inc,INN,2021/1/12,1.5,287500000,2026/2/15,#N/A N/A,CONVERTIBLE,USD,US,N
Delta Air Lines Inc,DAL,2020/4/29,7,3500000000,2025/5/1,BBB-,AT MATURITY,USD,US,N
NCR Corp,NCR,2020/8/20,5.25,450000000,2030/10/1,B,CALLABLE,USD,US,N
PLDT Inc,TELPM,2020/6/23,2.5,300000000,2031/1/23,NR,CALLABLE,USD,PH,N
Intesa Sanpaolo SpA,ISPIM,2017/1/18,1.375,1068310000,2024/1/18,BBB,AT MATURITY,EUR,IT,N
Amazon.com Inc,AMZN,2018/6/6,4.05,3500000000,2047/8/22,A+,CALLABLE,USD,US,N
National Australia Bank Ltd,NAB,2020/8/21,2.332,1500000000,2030/8/21,BBB+,AT MATURITY,USD,AU,N
ACS Actividades de Construccion y Servicios SA,ACSSM,2020/6/17,1.375,842332500,2025/6/17,NR,CALLABLE,EUR,ES,N
Hewlett Packard Enterprise Co,HPE,2020/7/17,1.75,750000000,2026/4/1,BBB,CALLABLE,USD,US,N
AbbVie Inc,ABBV,2016/5/12,2.3,1800000000,2021/5/14,BBB,CALLABLE,USD,US,N
Perusahaan Gas Negara Tbk PT,PGASIJ,2014/5/16,5.125,1350000000,2024/5/16,BBB-,AT MATURITY,USD,ID,N
Golden Energy & Resources Ltd,GERSP,2018/2/14,9,150000000,2023/2/14,B+,CALLABLE,USD,SG,N
HSBC Holdings PLC,HSBC,2008/4/7,7,1488900000,2038/4/7,BBB+,AT MATURITY,GBP,GB,N
AECOM,ACM,2015/10/30,5.875,800000000,2024/10/15,BB-,CALLABLE,USD,US,N
CCL Industries Inc,CCLBCN,2020/6/1,3.05,600000000,2030/6/1,BBB,CALLABLE,USD,CA,N
Fresenius Medical Care AG & Co KGaA,FMEGR,2019/11/29,0.625,660972000,2026/11/30,BBB-,CALLABLE,EUR,DE,N
Aareal Bank AG,AARB,2014/11/20,6.849,376164000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,DE,N
Abbott Laboratories,ABT,2016/11/22,4.75,1650000000,2036/11/30,A-,CALLABLE,USD,US,N
Phoenix Group Holdings PLC,PHNXLN,2020/6/4,4.75,500000000,2031/9/4,NR,CALLABLE,USD,GB,N
SSE PLC,SSELN,2020/7/14,3.125,570160000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,GB,N
Navient Corp,NAVI,2013/1/28,5.5,1000000000,2023/1/25,B+,AT MATURITY,USD,US,N
Intel Corp,INTC,2020/3/25,4.6,750000000,2040/3/25,A+,CALLABLE,USD,US,N
Indian Railway Finance Corp Ltd,INRCIN,2017/12/13,3.835,500000000,2027/12/13,BBB-,AT MATURITY,USD,IN,Y
VGP NV,VGPBB,2018/9/19,3.5,221978900,2026/3/19,#N/A N/A,AT MATURITY,EUR,BE,N
AutoNation Inc,AN,2017/11/10,3.5,450000000,2024/11/15,BBB-,CALLABLE,USD,US,N
American International Group Inc,AIG,2014/7/16,4.5,2250000000,2044/7/16,BBB+,CALLABLE,USD,US,N
Lloyds Banking Group PLC,LLOYDS,2017/11/22,4.25,341487000,2027/11/22,A-,AT MATURITY,AUD,GB,N
HSBC Holdings PLC,HSBC,2018/9/12,1.5995,750000000,2026/9/12,A,CALLABLE,USD,GB,N
FedEx Corp,FDX,2019/7/24,3.1,1000000000,2029/8/5,BBB,CALLABLE,USD,US,N
Citigroup Inc,C,2021/2/17,1,28547000,2026/2/17,A-,CALLABLE,USD,US,N
NRG Energy Inc,NRG,2017/4/18,6.625,1248410000,2027/1/15,BB,CALLABLE,USD,US,N
STMicroelectronics NV,STM,2020/8/4,0,750000000,2025/8/4,NR,CONVERTIBLE,USD,NL,N
Celgene Corp,CELG,2014/5/15,3.625,1000000000,2024/5/15,NR,CALLABLE,USD,US,N
Quadient SA,QDTFP,2015/6/16,3.375,297910350,#N/A Field Not Applicable,#N/A N/A,CONV/CALL/PERP,EUR,FR,N
Apple Inc,AAPL,2017/9/12,2.9,2000000000,2027/9/12,AA+,CALLABLE,USD,US,N
Electricite de France SA,EDF,2016/10/13,1,1932035000,2026/10/13,BBB+,CALLABLE,EUR,FR,Y
Societe Generale SA,SOCGEN,2020/7/8,3.653,500000000,2035/7/8,BBB-,CALLABLE,USD,FR,N
Barclays PLC,BACR,2020/5/22,3.75,608470000,2030/11/22,BBB-,CALLABLE,GBP,GB,N
China Aoyuan Group Ltd,CAPG,2020/11/18,5.98,230000000,2025/8/18,NR,CALLABLE,USD,KY,N
Redco Properties Group Ltd,REDPRO,2020/8/6,11,220000000,2022/8/6,B,AT MATURITY,USD,KY,N
Commonwealth Bank of Australia,CBAAU,2020/9/10,1.82,1018948000,2030/9/10,BBB+,CALLABLE,AUD,AU,N
Boyd Gaming Corp,BYD,2018/8/10,6,698449000,2026/8/15,CCC+,CALLABLE,USD,US,N
Gulfport Energy Corp,GPOR,2018/3/19,6.375,449990000,2026/1/15,NR,CALLABLE,USD,US,N
LGI Homes Inc,LGIH,2018/7/6,6.875,300000000,2026/7/15,BB-,CALLABLE,USD,US,N
Morgan Stanley,MS,2014/3/31,#N/A N/A,30000000,2034/3/31,NR,AT MATURITY,USD,US,N
Westlake Chemical Corp,WLK,2020/6/12,3.375,300000000,2030/6/15,BBB-,CALLABLE,USD,US,N
Mapfre SA,MAPSM,2017/3/31,4.375,641838000,2047/3/31,BBB-,CALLABLE,EUR,ES,N
Terna Rete Elettrica Nazionale SpA,TRNIM,2020/7/24,0.75,581755000,2032/7/24,BBB,AT MATURITY,EUR,IT,Y
Westinghouse Air Brake Technologies Corp,WAB,2018/9/14,4.95,1250000000,2028/9/15,BB+,CALLABLE,USD,US,N
Methanex Corp,MXCN,2014/11/18,4.25,300000000,2024/12/1,BB,CALLABLE,USD,CA,N
Logan Group Co Ltd,LOGPH,2020/1/14,5.75,300000000,2025/1/14,NR,CALLABLE,USD,KY,N
Goldman Sachs Group Inc/The,GS,2017/10/31,2.876,3250000000,2022/10/31,A-,CALLABLE,USD,US,N
Discover Financial Services,DFS,2017/10/31,5.5,570000000,#N/A Field Not Applicable,BB-,PERP/CALL,USD,US,N
Standard Chartered PLC,STANLN,2021/1/14,4.75,1250000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,GB,N
UniCredit SpA,UCGIM,2017/6/19,5.861,1000000000,2032/6/19,BB+,CALLABLE,USD,IT,N
Turkiye Vakiflar Bankasi TAO,VAKBN,2016/10/27,5.5,500000000,2021/10/27,B,AT MATURITY,USD,TR,N
ONEOK Inc,OKE,2019/8/15,4.45,750000000,2049/9/1,BBB-,CALLABLE,USD,US,N
Applied Materials Inc,AMAT,2020/5/29,1.75,750000000,2030/6/1,A-,CALLABLE,USD,US,N
Travel + Leisure Co,TNL,2012/3/7,4.25,650000000,2022/3/1,BB-,CALLABLE,USD,US,N
Howmet Aerospace Inc,HWM,2007/5/2,5.87,627182000,2022/2/23,BB,AT MATURITY,USD,US,N
ViacomCBS Inc,VIAC,2020/5/19,4.2,1000000000,2032/5/19,BBB,CALLABLE,USD,US,N
Comcast Corp,CMCSA,2020/2/20,1.25,863440000,2040/2/20,A-,CALLABLE,EUR,US,N
Emergent BioSolutions Inc,EBS,2020/8/7,3.875,450000000,2028/8/15,BB-,CALLABLE,USD,US,N
Banque Internationale a Luxembourg SA,BANQUE,2019/11/14,5.25,192813250,#N/A Field Not Applicable,NR,PERP/CALL,EUR,LU,N
Banco BPM SpA,BAMIIM,2016/6/22,0,564952197.5,2022/6/22,NR,AT MATURITY,EUR,IT,N
Kinder Morgan Inc,KMI,2018/3/1,4.3,1250000000,2028/3/1,BBB,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2015/7/27,2,1666890000,2023/7/27,A-,AT MATURITY,EUR,US,N
Vodafone Group PLC,VOD,2018/5/30,3.75,2000000000,2024/1/16,BBB,AT MATURITY,USD,GB,N
Asbury Automotive Group Inc,ABG,2020/11/10,4.5,405000000,2028/3/1,BB-,CALLABLE,USD,US,N
ArcelorMittal SA,MTNA,2015/6/1,6.125,500000000,2025/6/1,BB+,AT MATURITY,USD,LU,N
Navient Corp,NAVI,2016/7/29,6.625,750000000,2021/7/26,B+,AT MATURITY,USD,US,N
Prudential Financial Inc,PRU,2019/9/13,3.7,1500000000,2051/3/13,A-,CALLABLE,USD,US,N
UNIQA Insurance Group AG,UQA,2020/7/9,3.25,225814000,2035/10/9,NR,CALLABLE,EUR,AT,Y
Deutsche Wohnen SE,DWNIGY,2017/10/4,0.6,941048000,2026/1/5,NR,CONVERTIBLE,EUR,DE,N
AMC Networks Inc,AMCX,2012/12/17,4.75,600000000,2022/12/15,BB-,CALLABLE,USD,US,N
CVR Energy Inc,CVI,2020/1/27,5.75,400000000,2028/2/15,B+,CALLABLE,USD,US,N
